rate,avr_air_pressure,avr_wind_spd,avr_temp,avr_water_pressure,rel_humidity,day_precipitation,month_sun,hour_sun,extreme_wind_speed,min_air_pressure,min_temp,max_air_pressure,max_temp,max_wind_speed,day_max_precipitation,power,industrial_add,sales_rate,fin_budget,cpi,pas_turn,im_ex,Residential_investment,ex_factory_index
3.580533024,1012.271429,2.871428571,2.585714286,4.457142857,56.57142857,2.714285714,68.14285714,200.5428571,17.4,996.8428571,-10.94285714,1022.171429,18.44285714,11.17142857,3.325,78.41,9.1,97.2,25.6,99.63,131936,6404976,39.7,103.3
1.749710313,1013.485714,3.242857143,-4.728571429,2.6,53.28571429,2.714285714,60.71428571,173.5428571,17.07142857,999.5571429,-18.2,1028.228571,11,10.65714286,7.74702381,88.99,9,97.7,25.2,98.49,130238.5833,5480035,35.1,99.46
5.261460493,1016.171429,2.7,-7.757142857,2.085714286,55.57142857,2.285714286,67.85714286,202.2571429,16.01428571,1000.271429,-19.75714286,1028.814286,6.571428571,10.05714286,4.680357143,84.15,16.65833333,96.99166667,4.5,99.005,124180.5,4470131,18.67762238,95.62
5.061045842,1011.228571,2.8,-4.257142857,2.728571429,57.71428571,4.285714286,65,194.7,17.67142857,987.5714286,-18.8,1027.185714,10.02857143,11.17142857,19.68571429,80.02,13.3,94.7,8.1,98.365,130298.5,4008011,89.4,94.9
6.263533748,1009.185714,3.385714286,1.9,3.785714286,52.57142857,4.571428571,66.14285714,246.8571429,18.1,987.5857143,-10.68571429,1026.871429,18.3,11.41428571,3.814285714,89.45,14,96,9.4,98.135,135735,4426228,44.4,93.13
5.95715273,1004.357143,3.242857143,11.22857143,7.185714286,57,6.857142857,58.28571429,233.8142857,18.52857143,985,-3.014285714,1017.142857,25.44285714,11.35714286,47.45714286,87.54,12,96.9,8.3,98.9,131568,4644273,42.8,92.14
5.342087077,1000.571429,3.128571429,18.74285714,11.5,56.85714286,5.285714286,59.57142857,266.6428571,16.81428571,987.6,7.357142857,1008.528571,30.81428571,10.77142857,25.64285714,86.74,14.5,98,9.8,99.58,147538,4911716,38.7,91.04
5.001151808,992.5142857,2.871428571,21.17142857,17.47142857,71.14285714,13.28571429,49.14285714,221.0285714,18.22857143,983.3,11.57142857,1002.614286,32.2,10.52857143,30.98571429,87.93,14.1,96.3,13.8,99.365,147889.8333,6070899,29.8,90.49
4.869845658,994.1571429,2.6,23.67142857,22.75714286,79.42857143,12,48.42857143,218.8428571,16.22857143,985.8428571,17.01428571,1001.242857,31.62857143,9.557142857,53.35714286,99.73,15,98.5,12.8,99.78,149080.5,6111371,29,90.04
4.64639484,998.7571429,2.4,24.22857143,22.05714286,73.85714286,6.142857143,64.71428571,273.4,17.24285714,990.0285714,9.657142857,1009.157143,35.52857143,10.75714286,42.04285714,108.2,15.6,98.3,13.9,100.085,145629.125,5811281,28.3,90.9
4.270905321,1004.114286,2.628571429,18.52857143,14.84285714,70.71428571,5.857142857,57.85714286,213.3,14.81428571,993.4,7.928571429,1012.328571,28.77142857,9.114285714,12.01428571,96.99,16.6,98.5,12.7,101.145,145563.875,7530516,26.2,91.98
4.383782539,1006.742857,2.6,11.62857143,8.642857143,63.28571429,6,63.85714286,216.6714286,17.87142857,987.0285714,-1.785714286,1019.557143,22.82857143,10.78571429,16.81428571,103.1,20.4,98.4,12.2,101.46,148631.4167,5436224,25.5,93.71
4.111955771,1015.414286,3.414285714,-1.157142857,4,63.14285714,3.714285714,58.71428571,172.0285714,17.24285714,998.1857143,-14.5,1028.2,18.9,10.74285714,8.371428571,107.38,21,97.9,13.4,102.665,149373.8333,7455138,24.7,100.15
3.425478,1014.314286,2.657142857,-7.957142857,2.471428571,63.28571429,5.428571429,59.57142857,170.1857143,15.27142857,999.7285714,-24.07142857,1024.557143,6.642857143,9.328571429,5.657142857,110.28,21.4,100,17.3,103.58,146229.5833,8794170,22.4,104.24
5.017142857,1015.642857,2.942857143,-10.31428571,2.042857143,63.85714286,6.142857143,60.42857143,180.7,16.72857143,1001.5,-24.84285714,1027.057143,4.442857143,10.77142857,2.828571429,110.88,16.61666667,97.25,25.6,103.4,148318.1667,7845552,18.67762238,105.81
4.685714286,1013.514286,3.057142857,-6.442857143,2.514285714,57.71428571,4.857142857,57.28571429,171.2571429,15.91428571,994,-19.18571429,1025.857143,9.085714286,9.571428571,7.114285714,87.31,21.1,94.8,26.4,103.015,151635.625,6902427,46.2,106.68
5.625142857,1011.085714,3.628571429,-0.528571429,3.357142857,54.14285714,5.571428571,59.57142857,221.7428571,20.61428571,987.9571429,-12.45714286,1029.028571,13.77142857,12.04285714,12.72857143,114.2,21.2,98.1,26.4,102.79,152355.375,7548242,46.4,109.39
5.748571429,1006.642857,3.514285714,6.971428571,5.628571429,57.28571429,11.14285714,48,193.4142857,19.81428571,990.5428571,-3.285714286,1017.985714,20.51428571,12,17.22857143,106.6,19,99.1,33,102.835,156041,7985522,33.9,110.09
5.645714286,998.6857143,3.314285714,16.12857143,12.12857143,68.71428571,13.14285714,45.71428571,206.1857143,18.42857143,984.9,5.742857143,1010.128571,30.44285714,11.04285714,37.91428571,101.57,18.7,97.9,32,102.115,160855.5,7580033,35.3,110.91
5.366857143,999.2571429,2.442857143,22.04285714,17.67142857,69.42857143,8.571428571,57.28571429,258.7857143,13.48571429,989.9285714,11.54285714,1009.485714,32.95714286,8.914285714,18.1,108.7,18.1,96.9,32,102.025,176403.5,8016760,37.1,109.39
5.117714286,995.6714286,2.542857143,24.61428571,26.21428571,85.42857143,15.71428571,31.42857143,143.0428571,15.07142857,986.8142857,17.91428571,1003.557143,32.8,9,58.54285714,114.4,16.4,97.5,31.2,102.385,165659,7991058,36.2,107.27
4.838857143,999.0142857,2.314285714,23.27142857,24.14285714,85.57142857,11.85714286,43.42857143,183.6285714,14.2,987.5571429,15.5,1007,31.14285714,8.628571429,71.92857143,105,16.5,97.6,30.1,103.66,166338,8175012,35,105.2
4.507428571,1004.457143,2.328571429,18.42857143,17.25714286,78.85714286,7.428571429,52.85714286,195.2,14.31428571,996.9714286,4.528571429,1014.114286,30.41428571,8.642857143,27.95714286,103.4,17.4,98.6,29.9,103.24,170147.5,8485112,33.6,105.41
4.466285714,1010.614286,2.871428571,9.814285714,8.942857143,69,4.857142857,63.42857143,215.4,15.62857143,996.7714286,-4.442857143,1027.671429,24.4,9.785714286,35.08571429,104.64,16.4,97.9,30,104.365,180813,7171133,31.6,105.76
4.297142857,1010.085714,3.042857143,2.9,5.228571429,64.57142857,7.428571429,56.14285714,164.5714286,18.37142857,992.0285714,-11.92857143,1026.514286,17.12857143,11.18571429,19.32857143,111.4,15.9,97.1,29.5,105.97,161452,8589107,30.3,106.67
4.016,1008.328571,3.085714286,-6.6,2.657142857,60.28571429,5.285714286,57.14285714,163.3285714,16.07142857,988.4142857,-22.07142857,1026.614286,10.11428571,9.971428571,5.442857143,112.4,18.9,99.1,26,105.27,160774.125,8826127,28.3,106.58
6.313027607,1019.471429,2.471428571,-12.21428571,1.328571429,55,1.571428571,78.14285714,232.2142857,12.85714286,1005.785714,-23.54285714,1032.814286,3.6,8.185714286,1.029166667,117.48,14.875,97.26666667,38.5,104.55,156488.5,9568223,18.67762238,106.58
